"","CODE","POSTCODE","NUMBER_OF_PATIENTS"
"419","P87618","M28 3EZ",2083
"420","P87620","M30 8AR",9604
"421","P87624","M28 1PB",5141
"422","P87625","M38 9GH",2470
"423","P87627","M28 1LZ",3203
"424","P87630","M28 0AY",2842
"425","P87634","M6 5FX",10524
"426","P87639","M6 5QQ",3338
"427","P87648","M7 4NX",6107
"428","P87649","M44 6FE",6628
"429","P87651","M7 4NX",5592
"430","P87654","M7 1RD",11136
"431","P87657","M44 6DP",2918
"432","P87658","M5 5JR",3480
"433","P87661","M28 0BB",2171
"434","Y00445","M28 0BB",20639
"435","Y02622","M3 6AF",13913
"436","Y02625","M6 5FW",1040
"437","Y02767","M6 7NJ",5637
"438","A82004","CA9 3QX",2246
"439","A82006","CA16 6QR",5027
"440","A82012","CA8 1NL",16570
"441","A82013","CA17 4RB",6675
"442","A82014","CA7 8DS",4398
"443","A82015","CA1 1EB",5308
"444","A82016","CA1 1DG",36897
"445","A82018","CA1 1BP",12856
"446","A82019","CA1 2HE",8125
"447","A82020","CA2 7AJ",15849
"448","A82021","CA13 9HT",17514
"449","A82022","CA5 7PZ",5086
"450","A82023","CA14 5UR",5299
"451","A82024","CA20 1PN",5776
"452","A82028","CA12 4DB",8425
"453","A82029","CA7 5JH",3431
"454","A82031","CA10 3LW",3112
"455","A82032","CA15 8EL",13849
"456","A82035","CA11 8HW",14323
"457","A82036","CA11 8HW",10677
"458","A82037","CA7 4AH",4345
"459","A82038","CA10 1RW",4887
"460","A82041","CA28 7RG",10107
"461","A82044","CA22 2BD",24387
"462","A82045","CA7 9QD",8905
"463","A82047","CA14 2DL",33089
"464","A82055","CA7 3HH",6833
"465","A82058","CA28 7BA",4343
"466","A82064","CA22 2DB",4959
"467","A82075","CA28 7BU",7025
"468","A82617","CA10 1DQ",2694
"469","A82620","CA11 0PD",915
"470","A82631","CA4 0HP",3562
"471","A82646","CA6 5XA",3552
"472","A82654","CA1 1LB",7652
"473","N83009","L33 6YJ",12188
"474","N83013","L26 9UH",4944
"475","N83014","L36 2NW",10671
"476","N83015","L36 7XY",4666
"477","N83018","L28 1ST",8771
"478","N83024","L34 1ND",7531
"479","N83025","L36 3TN",9260
"480","N83028","L36 0UB",24000
"481","N83030","L14 0JE",5407
"482","N83031","L26 9UH",2590
"483","N83032","L32 9PF",11633
"484","N83033","L32 9QU",5777
"485","N83043","L36 6EB",3935
"486","N83047","L36 0UB",4881
"487","N83055","L32 8RE",5781
"488","N83601","L32 8RE",6294
"489","N83603","L34 1ND",6798
"490","N83605","L26 0TH",5945
"491","N83608","L33 1XT",10714
"492","N83609","L35 3SX",4170
"493","N83610","L36 7XY",2349
"494","N83619","L36 4NP",2317
"495","N83621","L36 7XY",2817
"496","N83622","L36 7XY",2620
"497","N83633","L36 6GA",3742
"498","A82003","LA12 7BT",11371
"499","A82005","LA22 9BP",6199
"500","A82007","LA14 1LF",9765
"501","A82008","LA14 5ES",11033
"502","A82009","LA13 9SH",8804
"503","A82010","LA14 2LB",6503
"504","A82025","LA9 4JE",10803
"505","A82026","LA9 7HR",17586
"506","A82027","LA9 6SA",9938
"507","A82030","LA6 2HQ",6498
"508","A82033","LA18 4BY",8065
"509","A82039","LA15 8AB",8786
"510","A82046","LA23 2EG",5270
"511","A82053","LA11 7DJ",7724
"512","A82062","LA14 2LB",5043
"513","A82068","LA12 7BT",4490
"514","A82070","LA23 1BA",6382
"515","A82071","LA14 3HY",4274
"516","A82072","LA14 2LB",6516
"517","A82077","LA13 9QY",5233
"518","A82608","LA10 5DL",4496
"519","A82613","LA21 8ER",1027
"520","A82629","LA14 5SL",3051
"521","A82647","LA11 6PH",2992
"522","A82650","LA12 8QF",2805
"523","A82651","LA17 7TE",4755
"524","B82061","LA2 7JP",7318
"525","P81002","LA1 1PN",66190
"526","P81013","LA1 1RP",15214
"527","P81029","LA5 9JU",25185
"528","P81113","LA7 7PS",6161
"529","Y01008","LA3 2LE",54096
"530","N84001","L22 4RQ",9440
"531","N84002","L20 9DL",2485
"532","N84003","L31 2HW",10369
"533","N84004","L30 5TA",7576
"534","N84007","L23 5TE",5868
"535","N84010","L31 0DJ",5537
"536","N84011","L22 4QD",6650
"537","N84015","L20 3EW",6269
"538","N84016","L20 4SE",6223
"539","N84019","L20 5DQ",6449
"540","N84020","L23 6TZ",10038
"541","N84023","L21 6PH",7221
"542","N84025","L31 0DJ",9007
"543","N84026","L23 2TE",2952
"544","N84027","L9 8BU",4621
"545","N84028","L20 5BW",7489
"546","N84029","L21 0DF",5935
"547","N84034","L20 3DF",5831
"548","N84035","L21 9HA",4093
"549","N84038","L20 3BG",5866
"550","N84041","L22 4RQ",5263
"551","N84043","L21 3TA",2009
"552","N84605","L21 9JN",3783
"553","N84615","L21 1HP",2751
"554","N84621","L23 1TQ",2884
"555","N84626","L38 3RY",1969
"556","N84627","L23 0QW",2512
"557","N84630","L30 5SP",2697
"558","Y00446","L31 0DJ",3204
"559","N84005","PR8 6PG",11198
"560","N84006","L37 4DL",7930
"561","N84008","PR9 7EG",9778
"562","N84012","PR8 3HW",11637
"563","N84013","PR8 6PL",10688
"564","N84014","PR8 3LB",3554
"565","N84017","PR9 7LT",9834
"566","N84018","L37 4AW",13743
"567","N84021","PR9 0TZ",16570
"568","N84024","PR8 2AD",9442
"569","N84037","PR8 4PR",2038
"570","N84613","PR9 9XP",4110
"571","N84614","PR9 9XL",2948
"572","N84617","PR8 6RG",4452
"573","N84618","L37 4AF",4077
"574","N84625","PR8 4DB",4537
"575","P88002","SK6 5AA",6338
"576","P88003","SK2 5AR",9198
"577","P88005","SK5 6RN",11450
"578","P88006","SK6 6BW",7718
"579","P88007","SK8 6LU",13786
"580","P88008","SK4 3BT",8144
"581","P88009","SK6 1ND",3336
"582","P88011","SK4 1JX",7375
"583","P88012","SK7 4QR",7929
"584","P88013","SK2 6BZ",12805
"585","P88014","SK8 2JN",4740
"586","P88015","SK7 2DY",12207
"587","P88016","SK7 3EP",14176
"588","P88017","SK6 4QR",6882
"589","P88018","SK5 6ET",9471
"590","P88019","SK6 1ND",5962
"591","P88020","SK8 1BH",11753
"592","P88021","SK6 6AB",7084
"593","P88023","SK8 3JD",6685
"594","P88024","SK8 4DG",9747
"595","P88025","SK8 6LU",10785
"596","P88026","SK4 4NX",45802
"597","P88031","SK2 6EQ",5501
"598","P88034","SK3 8JE",4013
"599","P88041","SK7 2DN",7246
"600","P88042","SK8 3JD",6770
"601","P88043","SK5 8BS",9310
"602","P88044","SK6 2AH",4298
"603","P88606","SK7 4AA",5826
"604","P88607","SK6 4QR",2954
"605","P88610","SK5 7QU",3550
"606","P88615","SK1 2EX",3181
"607","P88623","SK6 8DR",6530
"608","P88625","SK6 1ND",7975
"609","P88632","SK3 9NX",17404
"610","Y00912","SK2 6JG",1836
"611","N83001","WA9 3PN",14665
"612","N83002","WA12 9NA",11973
"613","N83003","WA10 2DJ",7434
"614","N83005","WA12 9ED",8358
"615","N83006","WA10 2HT",3558
"616","N83007","WA10 2HT",2582
"617","N83008","WA9 3RP",7909
"618","N83010","L35 4LP",6931
"619","N83012","WA10 2BD",10647
"620","N83017","WA10 1DW",4895
"621","N83019","WN5 7LY",8754
"622","N83020","WA11 0NA",14925
"623","N83021","WA9 4QB",8323
"624","N83023","WA9 1LN",6556
"625","N83026","WA10 2DJ",2579
"626","N83027","WA10 2DJ",6659
"627","N83035","WA10 3EB",7141
"628","N83041","WA11 8AZ",4773
"629","N83045","WA12 0JJ",4787
"630","N83049","WA11 8HJ",4006
"631","N83050","WA9 5PR",4103
"632","N83053","L35 4LL",5701
"633","N83054","WA10 4GW",4173
"634","N83060","WA9 1LN",3591
"635","N83604","WA9 1LN",2436
"636","N83614","WA10 5RG",5041
"637","N83620","WA11 7AG",3339
