"","Postcode_District","Count_GP_Surgeries","Total_Registered_Patients","Total_Registered_Practitioners","Count"
"1254","PO19",4,48881,74,33528
"1255","PO2",2,73500,77,42522
"1256","PO20",4,41543,54,36182
"1257","PO21",4,44586,59,43414
"1258","PO22",2,27034,41,31977
"1259","PO3",2,22522,32,20604
"1260","PO30",2,33046,29,31257
"1261","PO31",1,15352,18,14852
"1262","PO32",1,8685,18,9147
"1263","PO33",4,35545,56,31045
"1264","PO36",1,27323,30,16584
"1265","PO38",2,14825,19,12332
"1266","PO4",1,13504,13,41272
"1267","PO40",1,11065,18,5706
"1268","PO5",3,51455,63,29391
"1269","PO6",2,28404,35,42520
"1270","PO7",2,37159,49,44179
"1271","PO8",4,34703,50,35752
"1272","PO9",5,54807,84,50906
"1273","PR1",11,111090,97,73467
"1274","PR2",7,66855,79,80048
"1275","PR25",5,37041,47,32716
"1276","PR26",2,14160,11,15650
"1277","PR3",4,47361,55,42034
"1278","PR4",6,45409,58,65417
"1279","PR5",5,38557,45,40633
"1280","PR6",5,37887,43,36207
"1281","PR7",8,67715,83,64116
"1282","PR8",8,57546,71,56153
"1283","PR9",5,43240,63,43925
"1284","RG1",7,55273,64,49233
"1285","RG10",2,20096,39,18786
"1286","RG12",7,79361,115,59266
"1287","RG14",3,49859,65,42335
"1288","RG17",3,23064,40,15472
"1289","RG18",1,18744,20,20020
"1290","RG19",1,10323,17,17328
"1291","RG2",4,68697,80,47277
"1292","RG20",2,29763,45,19902
"1293","RG21",2,47599,49,30628
"1294","RG22",2,50128,62,42414
"1295","RG24",2,29299,22,39326
"1296","RG26",2,27397,49,23400
"1297","RG27",1,18197,29,24225
"1298","RG28",1,9512,15,6418
"1299","RG29",1,12007,18,7064
"1300","RG30",3,56062,73,48859
"1301","RG31",2,20383,24,28736
"1302","RG4",3,42467,64,40917
"1303","RG40",3,45107,63,32242
"1304","RG41",1,14249,15,32107
"1305","RG42",2,21991,21,29381
"1306","RG45",1,8415,6,15419
"1307","RG5",2,27930,38,27826
"1308","RG6",3,46940,84,40124
"1309","RG7",4,45384,53,36324
"1310","RG8",2,22227,33,19354
"1311","RG9",3,24722,46,23698
"1312","RH1",5,56316,88,50436
"1313","RH10",7,111619,130,73959
"1314","RH11",6,59024,82,60281
"1315","RH12",6,74933,100,51991
"1316","RH13",2,14533,26,40063
"1317","RH14",2,20000,33,16936
"1318","RH15",3,29528,52,34156
"1319","RH16",4,44148,78,39232
"1320","RH17",2,20626,35,20486
"1321","RH18",1,9815,14,4476
"1322","RH19",1,15224,20,35193
"1323","RH2",1,21103,34,27631
"1324","RH20",2,26352,36,26481
"1325","RH3",1,12740,24,4228
"1326","RH4",2,23773,44,16427
"1327","RH5",1,7974,12,16249
"1328","RH6",3,31052,74,35061
"1329","RH7",1,10796,15,8866
"1330","RH8",1,16869,27,15852
"1331","RH9",1,6677,15,5649
"1332","RM1",4,51476,58,23049
"1333","RM10",8,48121,47,42394
"1334","RM11",4,19605,19,32650
"1335","RM12",6,49620,48,36032
"1336","RM13",4,18388,20,32562
"1337","RM14",4,27572,30,28044
"1338","RM15",5,33915,37,32232
"1339","RM16",3,32343,37,43963
"1340","RM17",8,48632,60,29933
"1341","RM18",5,37592,40,19772
"1342","RM19",1,6310,5,7356
"1343","RM2",1,9938,4,13842
"1344","RM3",10,60563,64,48053
"1345","RM4",1,4074,8,4568
"1346","RM5",2,20445,22,20835
"1347","RM6",5,35241,26,37986
"1348","RM7",4,18018,19,32686
"1349","RM8",7,71638,66,49883
"1350","RM9",6,34671,33,39849
"1351","S1",1,5148,12,10768
"1352","S10",4,25723,51,45915
"1353","S11",7,65316,89,34918
"1354","S12",5,29179,60,34202
"1355","S13",3,31937,44,31052
"1356","S14",1,8721,17,9724
"1357","S17",1,12578,23,16100
"1358","S18",3,20172,35,24764
"1359","S2",8,56844,110,46993
"1360","S20",4,27860,68,30196
"1361","S21",3,26081,41,20603
"1362","S25",1,20624,25,21337
"1363","S26",2,28034,46,26471
"1364","S3",5,73126,97,18473
"1365","S32",1,3441,13,5620
"1366","S33",1,5783,14,4608
"1367","S35",5,42358,91,40628
"1368","S36",4,36274,71,29000
"1369","S4",2,12851,33,14405
"1370","S40",5,78064,128,34693
"1371","S41",2,19550,32,36906
"1372","S42",3,14763,35,29814
"1373","S43",4,34638,66,41157
"1374","S44",3,18464,36,22409
"1375","S45",3,18364,30,14478
"1376","S5",8,48744,85,63442
"1377","S6",9,72559,134,58122
"1378","S60",4,44223,47,42125
"1379","S61",4,25736,33,34942
"1380","S62",3,18335,27,20085
"1381","S63",5,40359,64,42908
"1382","S64",4,35738,46,31902
"1383","S65",5,50456,65,35178
"1384","S66",7,44255,55,46292
"1385","S7",1,12999,20,17764
"1386","S70",7,64889,90,41437
"1387","S71",6,31996,36,47573
"1388","S72",4,22873,22,25925
"1389","S73",3,32394,39,29250
"1390","S74",2,25357,44,18058
"1391","S75",4,37461,44,44894
"1392","S8",6,53410,98,45951
"1393","S80",4,44487,73,30843
"1394","S81",1,31358,41,38656
"1395","S9",4,26884,62,29041
"1396","SE1",6,129638,149,73174
"1397","SE10",6,62508,79,40654
"1398","SE11",3,40709,106,23014
"1399","SE12",2,12347,22,28560
"1400","SE13",6,59136,107,46362
"1401","SE14",5,48119,68,27535
"1402","SE15",8,65298,118,65578
"1403","SE16",5,47955,79,53700
"1404","SE17",3,29461,50,35753
"1405","SE18",13,112195,124,84970
"1406","SE19",3,38629,58,28914
"1407","SE2",3,28973,30,28381
"1408","SE20",4,22146,23,24812
"1409","SE21",3,25818,44,15210
"1410","SE22",6,51049,88,30429
"1411","SE23",3,37290,77,34644
"1412","SE24",4,40172,80,18479
"1413","SE25",5,38093,45,36596
"1414","SE26",2,28433,46,30589
"1415","SE27",2,15843,23,22158
"1416","SE28",2,27182,28,30524
"1417","SE3",3,31118,51,34929
"1418","SE4",3,33883,21,28964
"1419","SE5",5,34979,52,50452
"1420","SE6",6,63295,64,57210
"1421","SE7",1,11805,16,23024
"1422","SE8",3,30702,46,33260
"1423","SE9",5,65572,66,67210
"1424","SG1",4,75674,95,55697
"1425","SG10",1,6727,5,2200
"1426","SG11",1,9110,23,8795
"1427","SG12",2,34626,44,30608
"1428","SG14",3,32135,36,20697
"1429","SG15",1,4720,5,6026
"1430","SG16",1,6306,9,6871
"1431","SG17",1,18203,24,14767
"1432","SG18",2,34847,41,30745
"1433","SG19",2,21284,29,25741
"1434","SG2",2,23951,27,43222
"1435","SG3",1,13228,19,7208
"1436","SG4",2,16767,26,30135
"1437","SG5",4,45405,73,35628
"1438","SG6",4,36521,54,34331
"1439","SG7",2,20937,31,13840
"1440","SG8",3,26629,34,40328
"1441","SG9",1,10729,11,12524
"1442","SK1",1,3181,2,12676
"1443","SK10",1,33890,39,40873
"1444","SK11",8,66261,116,37542
"1445","SK13",5,33090,48,33338
"1446","SK14",7,58800,71,50287
"1447","SK15",5,30146,43,28591
"1448","SK16",3,17656,29,19746
"1449","SK17",4,28501,46,30717
"1450","SK2",4,29340,46,30245
"1451","SK22",2,14686,23,12074
"1452","SK23",2,17912,24,18395
"1453","SK3",2,21417,32,28977
"1454","SK4",3,61321,91,35490
"1455","SK5",4,33781,56,31543
"1456","SK6",10,59077,108,51451
"1457","SK7",5,47384,80,41784
"1458","SK8",7,64266,107,61839
"1459","SK9",5,45521,69,39941
"1460","SL0",1,9058,14,11701
"1461","SL1",10,110563,121,78212
"1462","SL2",7,62781,104,59956
"1463","SL3",3,40765,44,50523
"1464","SL4",4,47255,69,45354
"1465","SL5",4,32056,64,24782
"1466","SL6",10,83949,123,84273
"1467","SL7",1,27533,51,21318
"1468","SL9",3,31104,55,22245
"1469","SM1",5,53908,71,43871
"1470","SM2",1,8814,11,31280
"1471","SM3",4,45308,62,22446
"1472","SM4",3,19107,32,39690
"1473","SM5",5,42383,44,41752
"1474","SM6",7,56073,76,40363
"1475","SM7",2,18996,29,18509
"1476","SN1",5,52809,66,36319
"1477","SN10",6,34790,73,32675
"1478","SN11",2,28458,35,24803
"1479","SN12",2,27592,51,28538
"1480","SN13",2,19254,46,17773
"1481","SN14",2,20343,45,27752
"1482","SN15",2,25271,39,37597
"1483","SN16",2,19846,30,14761
"1484","SN2",2,25151,29,45229
"1485","SN25",2,34735,51,44355
"1486","SN3",5,49651,97,55199
"1487","SN4",3,32588,50,29504
"1488","SN5",5,47730,69,35631
"1489","SN6",3,40256,59,22816
"1490","SN7",1,16813,28,15283
"1491","SN8",4,34855,53,24926
"1492","SN9",1,8074,8,8283
"1493","SO14",3,33385,64,30998
"1494","SO15",6,49844,90,44101
"1495","SO16",7,80596,142,70040
"1496","SO17",3,33278,41,19835
"1497","SO18",2,21838,20,37464
"1498","SO19",5,87239,130,58497
"1499","SO20",1,9165,16,8065
"1500","SO21",2,16765,30,20875
"1501","SO22",2,45663,59,31653
"1502","SO23",1,17322,31,23309
"1503","SO24",1,9989,24,11451
"1504","SO30",2,25403,29,33539
"1505","SO31",3,43809,65,48662
"1506","SO32",1,13477,15,23672
"1507","SO40",2,37274,56,41106
"1508","SO41",2,22924,38,31951
"1509","SO42",1,7840,17,4864
"1510","SO43",1,5535,12,4379
"1511","SO45",3,42025,60,34373
"1512","SO50",5,53220,85,51843
"1513","SO51",2,33725,45,30022
"1514","SO52",1,9784,20,7205
"1515","SO53",2,31375,45,32089
"1516","SP1",1,23877,38,22723
"1517","SP10",5,63791,105,39796
"1518","SP11",1,15548,19,35724
"1519","SP2",3,48652,93,30982
"1520","SP3",2,6580,12,11435
"1521","SP4",3,27577,55,38742
"1522","SP5",3,18105,32,22434
"1523","SP6",1,12392,27,14172
"1524","SP8",2,15009,24,14386
"1525","SR1",2,11638,18,5092
