"Postcode_District","Population","Registered_Patients","Registered_Practitioners","GP_Surgeries"
"BH4",9624,19390,30,1
"BH5",11263,25484,26,1
"BH6",23203,30983,56,3
"BH7",11710,5830,11,1
"BH8",32124,17537,34,2
"BH9",32568,42701,99,4
"BL0",17308,12809,17,2
"BL1",69352,101194,141,16
"BL2",47216,37791,44,5
"BL3",71883,82601,115,18
"BL4",35440,35902,59,4
"BL5",27465,27443,33,2
"BL6",31311,23830,18,2
"BL7",15174,10266,17,2
"BL8",36145,59766,76,3
"BL9",52307,58574,72,9
"BN1",84834,151436,187,15
"BN10",19916,18996,26,1
"BN11",34441,46723,63,4
"BN12",22675,19573,27,2
"BN14",31088,55725,72,3
"BN15",28220,28768,48,3
"BN16",29858,37048,47,3
"BN17",33161,27050,40,2
"BN18",14259,17790,32,2
"BN2",94305,59489,97,9
"BN21",26270,61692,88,4
"BN22",33589,37883,53,4
"BN23",28609,7422,6,1
"BN24",10644,14199,12,1
"BN25",23959,27814,38,2
"BN26",13160,17826,29,2
"BN27",32317,34213,42,4
"BN3",80963,85581,109,5
"BN41",21373,32427,68,4
"BN43",24263,36432,56,1
"BN44",10012,12066,20,1
"BN5",8038,10215,20,1
"BN6",19203,20562,24,1
"BN7",20330,28330,36,1
"BN8",16084,9696,8,1
"BN9",13906,16438,37,2
"BR1",60642,87114,122,10
"BR2",49627,36213,48,4
"BR3",49899,62345,110,7
"BR4",19761,25951,34,3
"BR5",48738,47173,71,8
"BR6",48041,58435,80,7
"BR7",18796,24316,27,2
"BR8",23730,24276,33,2
"BS1",18751,11473,18,1
"BS10",30605,42247,75,3
"BS11",19089,11040,23,1
"BS13",32398,34707,69,4
"BS14",30930,26939,49,2
"BS15",49775,46849,107,3
"BS16",91268,98745,139,6
"BS2",19401,10136,31,3
"BS20",32907,35570,69,3
"BS21",23557,16147,28,1
"BS22",38031,25053,28,2
"BS23",35965,48682,86,4
"BS24",24816,11366,18,1
"BS25",6644,9993,19,1
"BS26",4941,8693,15,1
"BS27",7499,8064,20,1
"BS3",41231,51216,76,2
"BS30",30085,28847,51,3
"BS31",24038,26639,58,3
"BS32",24755,23842,40,2
"BS34",36399,44244,66,3
"BS35",24401,26947,56,4
"BS36",16623,14356,25,1
"BS37",40910,44817,81,4
"BS39",17349,9069,20,1
"BS4",51717,58421,108,6
"BS40",13753,62904,94,3
"BS48",23524,33101,50,1
"BS5",57433,80463,136,5
"BS6",33985,58888,92,3
"BS7",44446,46338,83,3
"BS8",27237,34409,57,2
"BS9",33370,34292,64,4
"CA1",25032,70838,90,5
"CA10",14421,10693,26,3
"CA11",23408,25915,46,3
"CA12",7451,8425,13,1
"CA13",15240,17514,29,1
"CA14",35870,38388,34,2
"CA15",16133,13849,25,1
"CA16",6407,5027,10,1
"CA17",4926,6675,20,1
"CA2",40609,15849,20,1
"CA20",3171,5776,18,1
"CA22",8710,29346,33,2
"CA28",27851,21475,43,3
"CA4",9702,3562,7,1
"CA5",7230,5086,11,1
"CA6",9186,3552,10,1
"CA7",22745,27912,46,5
"CA8",10099,16570,27,1
"CA9",2081,2246,6,1
"CB1",53549,57034,114,6
"CB10",15142,10713,15,1
"CB11",19042,21982,32,2
"CB2",29687,56046,86,4
"CB22",25778,52079,78,2
"CB23",36052,39015,75,5
"CB24",36901,39880,66,6
"CB25",19054,20329,44,3
"CB3",18818,38257,44,2
"CB4",44345,48938,67,3
"CB5",13530,8301,25,2
"CB6",39737,36443,78,4
"CB7",28702,38006,56,2
"CB8",34600,38096,68,4
"CB9",33005,34797,47,2
"CH1",32962,58054,116,8
"CH2",35674,30512,38,3
"CH3",36541,16212,20,2
"CH4",34818,14829,19,2
"CH41",19607,53108,86,7
"CH42",32616,27194,44,3
"CH43",37830,27147,56,5
"CH44",29347,28072,42,4
"CH45",30179,31329,56,5
"CH46",25286,29618,56,6
"CH47",10819,7283,10,1
"CH48",14930,19430,29,1
"CH49",29568,39055,54,5
"CH60",13052,16618,25,1
"CH62",30310,34885,54,4
"CH63",29359,25524,46,5
"CH64",19185,21114,26,3
"CH65",30570,36780,64,4
"CH66",35918,33109,36,2
